index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s],Res.
969,979.0,0.213195852,0.21260266,1.8895,4.678,3.0767,177.0,58.0,3e-06
970,980.0,0.210334519,0.21033884100000003,2.0508,3.8415,2.5943,196.0,69.0,3e-06
971,981.0,0.198916741,0.19430243,1.6995,2.7952,3.2946,197.0,58.0,3e-06
972,982.0,0.20562399999999997,0.20441876899999997,1.4165,2.647,2.0917,195.0,61.0,3e-06
973,983.0,0.20555555600000003,0.204516953,0.4597,4.8787,3.5903,172.0,55.0,3e-06
974,984.0,0.21710222199999998,0.215039418,0.7744,6.1263,3.2201,182.0,57.0,3e-06
975,985.0,0.253473185,0.253185167,6.7170000000000005,4.6872,2.4922,183.0,59.0,3e-06
976,986.0,0.259183407,0.258473734,7.6089,4.1822,4.9301,186.0,64.0,3e-06
977,987.0,0.241613037,0.241457712,3.0721,5.184,5.0236,184.0,63.0,3e-06
978,988.0,0.20760444399999997,0.20621595199999998,1.8599,4.1123,5.4349,368.0,84.0,3e-06
980,990.0,0.253886222,0.253316862,5.2288,7.1963,10.2914,356.0,89.0,3e-06
982,992.0,0.282531259,0.282564612,4.203,12.8545,16.4353,170.0,53.0,3e-06
984,994.0,0.282248593,0.28280895699999997,4.4173,6.7112,6.0443,193.0,65.0,3e-06
985,995.0,0.22977363,0.229677817,2.8991,4.6987,3.6139,201.0,65.0,3e-06
986,996.0,0.23650963,0.23518730000000002,2.7986,4.9818,4.216,189.0,63.0,3e-06
987,997.0,0.20442874100000002,0.203560771,2.9711,3.346,2.9991,201.0,61.0,3e-06
988,998.0,0.209404444,0.20860611,3.5783,2.0648,2.8017,203.0,63.0,3e-06
989,999.0,0.198560889,0.19653835600000003,1.6499,1.4018,2.6503,197.0,62.0,3e-06
990,1000.0,0.19516088899999998,0.192482672,1.1782,2.7745,2.5468,184.0,57.0,3e-06
991,1001.0,0.19924148100000003,0.197832605,0.4978,3.9746,2.8595,208.0,63.0,3e-06
992,1002.0,0.20698103699999998,0.20403272600000003,0.5046,4.2537,1.4627,223.0,65.0,3e-06
993,1003.0,0.21786548100000003,0.21603688199999999,1.4798,3.8823,1.7098,225.0,66.0,3e-06
994,1004.0,0.240369185,0.23895735699999998,2.2075,4.6666,3.9157,204.0,66.0,3e-06
995,1005.0,0.210344593,0.20874669199999998,1.2474,5.4942,3.5709,176.0,57.0,3e-06
997,1007.0,0.198982222,0.19188687100000001,4.5198,4.1602,4.0382,166.0,51.0,3e-06
999,1009.0,0.235017185,0.234553564,5.8483,6.0181,5.0001,162.0,53.0,3e-06
1001,1011.0,0.286183407,0.286773151,4.86,10.6413,11.5433,172.0,58.0,3e-06
1002,1012.0,0.269916741,0.269687953,5.3566,6.3515,9.0897,182.0,59.0,3e-06
1003,1013.0,0.203675259,0.200914256,1.8027,3.588,3.8192,182.0,58.0,3e-06
1004,1014.0,0.228871407,0.227710782,3.4314,4.2126,3.4606,185.0,62.0,3e-06
1005,1015.0,0.22316592600000001,0.222378701,4.5618,3.6128,5.6125,195.0,63.0,3e-06
1006,1016.0,0.20254340699999998,0.202105857,4.0312,1.6033,5.0343,180.0,58.0,3e-06
1007,1017.0,0.17507763,0.17291273899999998,0.3961,0.763,0.6385,175.0,55.0,3e-06
1008,1018.0,0.157127407,0.153657443,0.4634,0.5188,0.7164,176.0,53.0,3e-06
1009,1019.0,0.17825363,0.171098522,0.5047872870000001,1.007110194,0.80889185,413.0,85.0,3e-06
1010,1020.0,0.172454222,0.160895266,0.567793284,0.890627139,0.773486916,444.0,82.0,3e-06
1011,1021.0,0.177766222,0.1754064,0.8603,1.3144,0.885,209.0,63.0,3e-06
1012,1022.0,0.207486815,0.205849137,2.0964,2.2129,2.9322,198.0,62.0,3e-06
1013,1023.0,0.193364148,0.190464314,2.0175,3.0872,3.3454,175.0,57.0,3e-06
1014,1024.0,0.203875556,0.20179122100000002,2.2094,4.9517,3.8687,176.0,55.0,3e-06
1016,1026.0,0.223744296,0.223633899,5.8506,4.6212,4.8078,172.0,57.0,3e-06
1017,1027.0,0.165761481,0.160618493,1.9652,2.6316,1.3789,135.0,44.0,3e-06
